# rank, time, memory kiB
4, 1.53567443910492992e+09, 187284
4, 1.53567443960513711e+09, 187284
4, 1.53567444010534406e+09, 187284
4, 1.53567444060554790e+09, 187284
4, 1.53567444110575604e+09, 187284
4, 1.53567444160596991e+09, 187284
4, 1.53567444210619712e+09, 187548
4, 1.53567444260642409e+09, 187548
4, 1.53567444310663509e+09, 187548
4, 1.53567444360684299e+09, 187548
4, 1.53567444410705900e+09, 187548
4, 1.53567444460726190e+09, 187548
4, 1.53567444510746598e+09, 187548
4, 1.53567444560768390e+09, 187548
4, 1.53567444610789704e+09, 187548
4, 1.53567444660812902e+09, 176112
5, 1.53567439557236505e+09, 45184
5, 1.53567439608676195e+09, 45208
5, 1.53567439658690310e+09, 45208
5, 1.53567439708711791e+09, 45208
5, 1.53567439758730793e+09, 45208
5, 1.53567439808752298e+09, 45208
5, 1.53567439858772802e+09, 45208
5, 1.53567439908793211e+09, 45208
5, 1.53567439958812904e+09, 72316
5, 1.53567440008835006e+09, 93068
5, 1.53567440058857989e+09, 126612
5, 1.53567440108880591e+09, 126612
5, 1.53567440158899593e+09, 126612
5, 1.53567440208921790e+09, 126612
5, 1.53567440258942103e+09, 126612
5, 1.53567440308963203e+09, 126612
5, 1.53567440358983397e+09, 144416
5, 1.53567440409006190e+09, 162776
5, 1.53567440459030890e+09, 181524
5, 1.53567440509054804e+09, 182364
5, 1.53567440559078002e+09, 182364
5, 1.53567440609099889e+09, 182364
5, 1.53567440659118891e+09, 182364
5, 1.53567440709139490e+09, 182364
5, 1.53567440759158397e+09, 182364
5, 1.53567440809179211e+09, 182364
5, 1.53567440859198189e+09, 182364
5, 1.53567440909222698e+09, 182040
5, 1.53567440959245205e+09, 186788
5, 1.53567441009266996e+09, 186788
5, 1.53567441059287310e+09, 186788
5, 1.53567441109308195e+09, 186788
5, 1.53567441159329009e+09, 186788
5, 1.53567441209349990e+09, 186788
5, 1.53567441259370399e+09, 186788
5, 1.53567441309391308e+09, 186788
5, 1.53567441359412408e+09, 186788
5, 1.53567441409435391e+09, 186788
5, 1.53567441459458709e+09, 186788
5, 1.53567441509479690e+09, 186788
5, 1.53567441559501410e+09, 186788
5, 1.53567441609519196e+09, 186788
5, 1.53567441659539795e+09, 186788
5, 1.53567441709559202e+09, 186788
5, 1.53567441759579492e+09, 186788
5, 1.53567441809597898e+09, 186788
5, 1.53567441859621906e+09, 187052
5, 1.53567441909645700e+09, 187052
5, 1.53567441959665489e+09, 187052
5, 1.53567442009686494e+09, 187052
5, 1.53567442059705305e+09, 187052
5, 1.53567442109726191e+09, 187052
5, 1.53567442159744406e+09, 187052
5, 1.53567442209764600e+09, 187052
5, 1.53567442259784102e+09, 187052
5, 1.53567442309807205e+09, 187052
5, 1.53567442359829211e+09, 187052
5, 1.53567442409850693e+09, 187052
5, 1.53567442459871197e+09, 187052
5, 1.53567442509890294e+09, 187052
5, 1.53567442559910607e+09, 187052
5, 1.53567442609928894e+09, 187052
5, 1.53567442659949398e+09, 187052
5, 1.53567442709968090e+09, 187052
5, 1.53567442759990907e+09, 187052
5, 1.53567442810011911e+09, 187052
5, 1.53567442860032606e+09, 187052
5, 1.53567442910050893e+09, 187052
5, 1.53567442960071397e+09, 187052
5, 1.53567443010089588e+09, 187052
5, 1.53567443060110307e+09, 187052
5, 1.53567443110128307e+09, 187052
5, 1.53567443160149503e+09, 187316
5, 1.53567443210172105e+09, 187316
5, 1.53567443260195589e+09, 187316
5, 1.53567443310214400e+09, 187316
5, 1.53567443360235095e+09, 187316
5, 1.53567443410252905e+09, 187316
5, 1.53567443460273194e+09, 187316
5, 1.53567443510291004e+09, 187316
5, 1.53567443560311508e+09, 187316
5, 1.53567443610329294e+09, 187316
5, 1.53567443660350204e+09, 187316
5, 1.53567443710373306e+09, 187316
5, 1.53567443760400391e+09, 187316
5, 1.53567443810421109e+09, 187316
5, 1.53567443860443497e+09, 187316
5, 1.53567443910463595e+09, 187316
5, 1.53567443960484004e+09, 187316
5, 1.53567444010502195e+09, 187316
5, 1.53567444060522604e+09, 187316
5, 1.53567444110540795e+09, 187316
5, 1.53567444160561895e+09, 187316
5, 1.53567444210586309e+09, 187580
5, 1.53567444260611296e+09, 187580
5, 1.53567444310631490e+09, 187580
5, 1.53567444360652089e+09, 187580
5, 1.53567444410671711e+09, 187580
5, 1.53567444460691690e+09, 187580
5, 1.53567444510709906e+09, 187580
5, 1.53567444560730195e+09, 187580
5, 1.53567444610749292e+09, 187580
5, 1.53567444660774708e+09, 176108
6, 1.53567439557232094e+09, 45108
6, 1.53567439608677602e+09, 45132
6, 1.53567439658699107e+09, 45132
6, 1.53567439708719707e+09, 45132
6, 1.53567439758740306e+09, 45132
6, 1.53567439808760500e+09, 45132
6, 1.53567439858780694e+09, 45132
6, 1.53567439908801007e+09, 45132
6, 1.53567439958818793e+09, 72372
6, 1.53567440008842397e+09, 93096
6, 1.53567440058865404e+09, 126588
6, 1.53567440108885503e+09, 126588
6, 1.53567440158906102e+09, 126588
6, 1.53567440208924294e+09, 126588
6, 1.53567440258945203e+09, 126588
6, 1.53567440308963203e+09, 126588
6, 1.53567440358984089e+09, 144388
6, 1.53567440409005904e+09, 162508
6, 1.53567440459030294e+09, 181636
6, 1.53567440509053802e+09, 182352
6, 1.53567440559077811e+09, 182352
6, 1.53567440609097409e+09, 182352
6, 1.53567440659116697e+09, 182352
6, 1.53567440709134793e+09, 182352
6, 1.53567440759154701e+09, 182352
6, 1.53567440809172797e+09, 182352
6, 1.53567440859193110e+09, 182352
6, 1.53567440909215498e+09, 182028
6, 1.53567440959239507e+09, 186776
6, 1.53567441009261394e+09, 186776
6, 1.53567441059282088e+09, 186776
6, 1.53567441109300590e+09, 186776
6, 1.53567441159320593e+09, 186776
6, 1.53567441209339309e+09, 186776
6, 1.53567441259358811e+09, 186776
6, 1.53567441309377003e+09, 186776
6, 1.53567441359397697e+09, 186776
6, 1.53567441409421802e+09, 186776
6, 1.53567441459443593e+09, 186776
6, 1.53567441509462309e+09, 186776
6, 1.53567441559482288e+09, 186776
6, 1.53567441609502101e+09, 186776
6, 1.53567441659521103e+09, 186776
6, 1.53567441709539390e+09, 186776
6, 1.53567441759559298e+09, 186776
6, 1.53567441809578204e+09, 186776
6, 1.53567441859601593e+09, 187040
6, 1.53567441909622788e+09, 187040
6, 1.53567441959643698e+09, 187040
6, 1.53567442009662008e+09, 187040
6, 1.53567442059682393e+09, 187040
6, 1.53567442109700394e+09, 187040
6, 1.53567442159722209e+09, 187040
6, 1.53567442209740305e+09, 187040
6, 1.53567442259761500e+09, 187040
6, 1.53567442309784794e+09, 187040
6, 1.53567442359806705e+09, 187040
6, 1.53567442409825611e+09, 187040
6, 1.53567442459848595e+09, 187040
6, 1.53567442509867001e+09, 187040
6, 1.53567442559886003e+09, 187040
6, 1.53567442609905100e+09, 187040
6, 1.53567442659925389e+09, 187040
6, 1.53567442709944105e+09, 187040
6, 1.53567442759965992e+09, 187304
6, 1.53567442809986901e+09, 187304
